,Equal Weight,Minimum Volatility,Maximum Sharpe,Risk Parity,Maximum Diversification,Benchmark SPY,60/40 Benchmark
2017-11-27,-0.005103052246832895,0.0004808803423436692,-0.0022164165975332058,-0.005671644752492862,8.250282555829244e-05,-0.009132456657152455,-0.004231185704152418
2017-11-28,-0.0058620736921022,0.0024016883374612737,-0.004153125554282469,-0.004564715370168279,0.0016222152566708356,-0.010285723521968437,-0.004925493276810888
2017-11-29,0.0001243773225857115,-0.0009444249850536599,-0.0009332756379823935,-0.0003369489962523837,-0.001186082502402639,0.0031531316091237827,0.0010846725491657772
2017-11-30,0.008721402019268621,0.0003751242057565354,0.002371178657190695,0.0074617671540487,0.0015000394803285307,0.011282103760003492,0.00669740526420175
2017-12-01,-0.0003503973155367656,-0.0003912640459263834,-0.0010570570797730945,-0.0004126596563298302,-0.00014737132848048693,-0.004306340036428491,-0.0017298054272845143
2017-12-04,0.008051275339592113,0.0059873919503343875,0.0066135513885721905,0.008962488189843486,0.006187523670259913,0.001850091753926364,0.003520351643383801
2017-12-05,-0.008295876070686747,-0.003337038683753256,-0.005095745696660105,-0.009544541043199462,-0.004094191132148707,0.005279508475455552,0.003707052591488802
2017-12-06,-0.0032196527857835224,-0.002491979501776078,-0.0011956837500225394,-0.002231615442207581,-0.0027515246224089625,0.0027646387680100304,-3.435210515116997e-05
2017-12-07,0.011481100596611248,0.00409015007797666,0.003161758918368274,0.014915311673075343,0.003900695426468366,0.020024105313231733,0.011762835335101939
2017-12-08,0.0004208289936089017,0.0006816623079574112,0.000874144531299222,-0.00027281986365046494,0.00100329376568925,-0.0059181149923711596,-0.0026926572378452415
2017-12-11,0.016386866704036707,0.0027463911572042934,0.002831387301628986,0.01763334803268898,0.003807005171173173,0.0230532925541993,0.011752136594921714
2017-12-12,-0.00720367324022514,0.0007277444933169218,-0.005726968628529322,-0.0033217572244137288,-0.00048015415318666344,-0.01988050751237369,-0.010523772465579362
2017-12-13,-0.005126065360595821,-0.005063337193068014,-0.006419009782773722,-0.005332367179643635,-0.005239446831859238,-0.005752782198428785,-0.005073698789912817
2017-12-14,-0.003905297964775878,-0.0035149503489618557,-0.00550743848223924,-0.0022280258203771553,-0.004139731803452104,-0.0068584421166942855,-0.005190515418341257
2017-12-15,-0.00606617861624884,-0.0022945690294847534,-0.0013404360971226667,-0.005531968700802555,-0.0026933023962935417,0.0010182731044914295,0.0023723447853381875
2017-12-18,0.004330588279095383,0.0019226781215379203,0.0034088195989552426,0.0033743065325550145,0.0028278336717283375,0.005932746278948242,0.005274024580811565
2017-12-19,0.005440731361844276,0.0013075479482113684,0.0018340485996078864,0.0063244767756956,0.0016631518028190696,0.006414686702900907,0.0011382408067013732
2017-12-20,0.009019691953418209,0.0007013761094103063,0.00277144355806983,0.011152749873251593,0.000923626870288119,0.013755765755235183,0.006459314334776999
2017-12-21,-0.0022790912820629286,0.0015546851892300796,0.0016145882747997506,-3.956772647834055e-05,0.0004533145379765422,-0.006269575099088098,-0.004828286371552993
2017-12-22,0.0006465261733327843,0.0030927872252840753,0.002061094094087802,0.002124769594586079,0.0023789319329716985,-0.0029833095323099634,-0.00026805859751908266
2017-12-25,-0.006284419604571623,-0.0012625222521240238,-0.0016274661325795885,-0.006800307267756971,-0.001435420589948729,-0.01239864554868475,-0.0065919449722247276
2017-12-26,0.012927736292239832,0.00407068660437862,0.004776344343345918,0.012399133047358245,0.005181732668102661,0.01910678634798968,0.010024858165837135
2017-12-27,-0.005595093848967204,-0.0034597898751782485,-0.003149748418759874,-0.007197484282953675,-0.00298052506518991,-0.0050231869330429335,-0.003026503535632785
2017-12-28,0.0033502053121757915,0.0016558587231359574,0.002128869531408177,0.003692360295350825,0.0017585078868545868,0.0051602896824376465,0.002975395586547114
2017-12-29,0.0021672031761095557,0.002794503957350324,0.006307430093580931,0.002639421619308847,0.0027633420279797906,-0.0005869738496480092,-0.0003717203042159056
2018-01-01,-0.0012636829190166177,0.0031446654145553484,0.002923543626206478,-0.0007620633140549021,0.0023356411041620373,-0.009898765407379995,-0.00458324077172898
2018-01-02,0.0012176265127919474,0.000270286135243388,0.002489463999724807,0.00033787392185483784,0.0008976015688853587,-0.004519706730239825,-0.0027056753198634095
2018-01-03,0.00795257564072689,0.004144600413858053,0.005523178740527371,0.007503689753867318,0.004994612496612675,0.0057579516047665535,0.004537697323483148
