,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,GLD,VNQ,DBC
2015-01-02,-0.013482666709196622,-0.027708659261761026,-0.01748436015559185,-0.016475770849422644,-0.01597517104935009,0.004116856055433216,-0.00013839744979637914,-0.00036998038364011165,-0.018351122493778127,-0.011839146483665353
2015-01-05,-0.00898566012723212,0.0021015253474725437,0.0011840559297666697,-0.0032832733860077568,-0.0007408223636811151,-0.009397547373734771,-0.0037372483701445525,0.006740576627979555,0.009124558276441874,0.002661512051471915
2015-01-06,0.0018556375185436735,0.0015477350254462507,0.008980164551310788,0.009306523768002783,0.0012537153404541534,0.00030688223797925573,0.0021457869249021932,0.011391668854120018,-0.002773688762622739,0.006258899775478444
2015-01-07,0.0021554728963022463,0.005125757970134259,-0.006109883997088672,-0.001234637574831443,0.003936040610857061,-0.003868759284376466,-0.0036300142797507373,0.0015419600704313918,0.0012621856920698171,-0.010452149531029686
2015-01-08,0.0018015035547707114,-0.0018865807234993426,-0.0018335120204974187,0.009591135784159821,0.008914617474810704,-0.0021785503562837816,-0.0038627767311956163,0.005766370532859444,0.005034490671026459,0.011815071485236528
2015-01-09,-0.0023547729514336035,-0.010486614264024752,-0.003656465216702709,0.004230363210219634,0.0059067367913923086,-0.005643458202020835,-0.0011376405366311237,0.005103973983589638,-0.01003138553696814,0.0007653947620196444
2015-01-12,0.006903180706046896,0.007709660722488243,0.010434091459320172,0.01400008059821034,0.002613404110602735,0.0039952230496025365,0.0007271789341856127,0.0026840741344436037,0.0032020675425086242,0.006150917322587324
2015-01-13,-0.009588507514798561,-0.004460887012063375,-0.017244933571789023,0.00010908103875584274,-0.016385951439265134,0.005058973902105857,-0.001972669866206367,-0.007109725959021818,0.002288101012655419,0.00016259180948896557
2015-01-14,-0.0010810249053466725,-0.003639682999098892,-0.0032209897022171807,-0.012721351172197304,-0.006965247957262499,-0.00024770889509695415,-0.0005810692763702496,-0.007863861362929714,0.00893296797735621,-0.008926005315956442
2015-01-15,0.0067787620548442895,0.014008590329127601,0.01155310162520573,0.00047187181529340094,0.00032858707557514855,-0.005045282850815513,-0.0026408491812823787,0.0027007064728263863,-0.0012766120690637095,-0.008989093768124623
2015-01-16,0.004084853924934739,0.008603873084249036,0.0053387520769672125,0.00370813898844502,0.008391920601413805,0.001052259795049526,0.0037013596624373424,0.01228756141786902,-0.0018423214673128907,-0.006337848162617621
2015-01-19,0.01231468691636417,0.013742808940092832,0.016910510074423568,0.002897047774424122,0.013947294881334393,0.00045850788202694837,-0.0010620729549263297,-0.00203763136276347,0.008405517211890867,0.007854939453851184
2015-01-20,-0.014202161272124592,-0.02516391591537559,-0.01220511374184241,-0.01477333605449116,-0.02199376729807223,0.0011173039091010306,0.0026618970452940705,-0.008894174183139869,-0.024303199909543105,-0.009525968025941967
2015-01-21,-0.009665850731359171,-0.0038200188597811158,-0.004324345813941144,-0.00012946693285065258,-0.009123858350592484,0.014393481902832406,0.005415232514993429,0.005000032585295688,0.0028812515843985587,-0.008029908858246282
2015-01-22,-0.016530047810644044,-0.027087766021604898,-0.01515829363930632,-0.015375757371722698,-0.026484296765981075,0.003103823247708082,0.002509276602578492,-0.00235536380247503,-0.019241269135103378,0.001698476126935189
