Ticker,Start Price,End Price,Total Return,CAGR,Volatility,Max Drawdown
SPY,100.3214,18.2545,-0.8180398200184607,-0.13303145976371955,0.18383449118266249,-0.8365234670958119
QQQ,106.2989,23.1997,-0.7817503285546699,-0.1197221321513765,0.2334230511431162,-0.857151076740216
IWM,111.574,27.2304,-0.7559431408751143,-0.11144138359123268,0.22462454599463733,-0.8598414839797642
EFA,116.4073,35.0304,-0.6990704191231993,-0.09571034389430066,0.16695092537159667,-0.7406246038837169
EEM,119.8923,49.7994,-0.5846322074061471,-0.07096173818261586,0.1984880968842718,-0.7726811034598196
TLT,124.4882,549.8793,3.417119855536508,0.13252439223731272,0.1063262268646461,-0.2613460211438089
IEF,130.0602,395.2636,2.0390819020730397,0.0975959989898263,0.05572069423431215,-0.12640131832431312
GLD,135.1423,198.3301,0.4675649297074267,0.03265905305820116,0.0995777002085712,-0.24784348370085385
VNQ,140.9941,19.6339,-0.8607466553565007,-0.1522438465244933,0.17062963417859414,-0.8968340538919454
DBC,145.0189,56.0579,-0.613444178655334,-0.07654009294350261,0.13428344374461737,-0.635618451170094
